Time_min,Temp_C,Mass_mg,Heat_Flow_mW
2.795834,94.89218,10.01538,-21.6376
2.804166,95.06022,10.01444,-21.61334
2.8125,95.22639,10.01348,-21.58955
2.820834,95.3966,10.01261,-21.5628
2.829166,95.56319,10.01152,-21.53602
2.8375,95.72944,10.01072,-21.50838
2.845833,95.89781,10.00962,-21.47905
2.854167,96.05616,10.00879,-21.45256
2.8625,96.22095,10.00776,-21.42273
2.870834,96.39034,10.00676,-21.39098
2.879166,96.55363,10.0059,-21.36047
2.8875,96.7208,10.00475,-21.32746
2.895833,96.88328,10.00391,-21.29414
2.904167,97.05207,10.00276,-21.2585
2.9125,97.21368,10.0019,-21.2248
2.920834,97.37486,10.00075,-21.19081
2.929166,97.54051,9.999812,-21.15454
2.9375,97.7009,9.998725,-21.11844
2.945834,97.86708,9.99767,-21.07988
2.954166,98.02961,9.996756,-21.042
2.9625,98.19062,9.99546,-21.00348
2.970833,98.34982,9.994628,-20.96515
2.979167,98.51586,9.993348,-20.92393
2.9875,98.67902,9.992416,-20.88269
2.995834,98.83822,9.991236,-20.84248
3.004166,99.00468,9.990168,-20.79878
3.0125,99.16738,9.989095,-20.75527
3.020833,99.33009,9.98792,-20.71189
3.029167,99.48548,9.986932,-20.67009
3.0375,99.65322,9.985595,-20.62355
3.045834,99.8097,9.984695,-20.58022
3.054166,99.97344,9.983339,-20.53386
3.0625,100.1282,9.98237,-20.48976
3.070834,100.29,9.981132,-20.44315
3.079166,100.4517,9.979942,-20.39529
3.0875,100.611,9.978887,-20.34751
3.095833,100.7633,9.977488,-20.30196
3.104167,100.9248,9.976509,-20.25293
3.1125,101.0802,9.975099,-20.20504
3.120834,101.2414,9.9741,-20.15505
3.129166,101.3991,9.972798,-20.10555
3.1375,101.5601,9.971652,-20.05482
3.145833,101.7167,9.970366,-20.00506
3.154167,101.8781,9.969087,-19.95333
3.1625,102.0344,9.967976,-19.90276
3.170834,102.1923,9.966495,-19.85196
3.179166,102.3506,9.965469,-19.8002
3.1875,102.5114,9.963988,-19.74666
3.195834,102.6645,9.962843,-19.69508
3.204167,102.8211,9.961439,-19.64281
3.2125,102.9831,9.960116,-19.58862
3.220833,103.1377,9.958808,-19.53579
3.229167,103.293,9.957384,-19.48263
3.2375,103.4526,9.956157,-19.42822
3.245834,103.6055,9.954593,-19.37556
3.254166,103.7585,9.953391,-19.32258
3.2625,103.9151,9.951852,-19.26842
3.270833,104.0705,9.950518,-19.21432
3.279167,104.2266,9.949042,-19.16012
3.2875,104.3869,9.947588,-19.10362
3.295833,104.5379,9.946149,-19.04959
3.304166,104.6929,9.94466,-18.99465
3.3125,104.8515,9.94325,-18.93826
3.320834,105.0094,9.94165,-18.8816
3.329167,105.1616,9.940256,-18.82606
3.3375,105.3209,9.938641,-18.76803
3.345833,105.47,9.937157,-18.71322
3.354167,105.6298,9.935601,-18.65627
3.3625,105.7797,9.934058,-18.60148
3.370834,105.9326,9.932555,-18.54561
3.379166,106.0946,9.930949,-18.48699
3.3875,106.245,9.929344,-18.43142
3.395833,106.3986,9.92766,-18.37514
3.404167,106.5594,9.92602,-18.31689
3.4125,106.7134,9.924305,-18.26036
3.420833,106.8645,9.922649,-18.20433
3.429166,107.018,9.920903,-18.14745
3.4375,107.1763,9.919158,-18.08835
3.445834,107.3275,9.917356,-18.03121
3.454167,107.4814,9.915506,-17.97373
3.4625,107.6338,9.91366,-17.91724
3.470833,107.7874,9.911824,-17.8606
3.479167,107.942,9.909996,-17.80373
3.4875,108.0962,9.90809,-17.74709
3.495834,108.2534,9.906095,-17.68984
3.504166,108.404,9.903985,-17.63435
3.5125,108.5567,9.901861,-17.57858
