Time_min,Temp_C,Mass_mg,Heat_Flow_mW
3.179166,102.0174,13.13551,-23.30109
3.1875,102.175,13.13489,-23.24671
3.195834,102.3361,13.13412,-23.1907
3.204167,102.4913,13.13353,-23.13596
3.2125,102.6502,13.1328,-23.07955
3.220833,102.8062,13.13208,-23.02346
3.229167,102.9638,13.1314,-22.9663
3.2375,103.1196,13.1306,-22.91013
3.245834,103.2706,13.12996,-22.85527
3.254166,103.429,13.12917,-22.79729
3.2625,103.5894,13.12848,-22.73735
3.270833,103.7336,13.12773,-22.68325
3.279167,103.8916,13.12705,-22.62406
3.2875,104.0493,13.12625,-22.56442
3.295833,104.2002,13.12551,-22.50715
3.304166,104.3585,13.1248,-22.44756
3.3125,104.5144,13.12397,-22.3888
3.320834,104.6677,13.12329,-22.33082
3.329167,104.8225,13.12247,-22.27168
3.3375,104.9822,13.1217,-22.21033
3.345833,105.1322,13.12095,-22.1522
3.354167,105.2915,13.12014,-22.09085
3.3625,105.445,13.11933,-22.0314
3.370834,105.6001,13.11858,-21.97121
3.379166,105.7506,13.11772,-21.9124
3.3875,105.9029,13.11695,-21.85278
3.395833,106.0569,13.1161,-21.79267
3.404167,106.2123,13.11528,-21.73195
3.4125,106.3671,13.1144,-21.67142
3.420833,106.5198,13.11359,-21.61108
3.429166,106.6763,13.11266,-21.54923
3.4375,106.833,13.11182,-21.48722
3.445834,106.9877,13.11097,-21.42576
3.454167,107.138,13.10997,-21.36562
3.4625,107.2917,13.10923,-21.30388
3.470833,107.4459,13.1082,-21.24216
3.479167,107.5968,13.10741,-21.18144
3.4875,107.7505,13.10641,-21.11924
3.495834,107.9039,13.10554,-21.05733
3.504166,108.0561,13.10456,-20.99636
3.5125,108.2106,13.10362,-20.93459
3.520833,108.3599,13.10272,-20.87488
3.529167,108.5178,13.10165,-20.81208
3.5375,108.6675,13.10087,-20.75195
3.545833,108.8259,13.09967,-20.68901
3.554166,108.9817,13.09889,-20.62662
3.5625,109.1306,13.09778,-20.56644
3.570834,109.2871,13.09684,-20.50421
3.579167,109.441,13.09589,-20.44219
3.5875,109.5931,13.09484,-20.3803
3.595833,109.7454,13.09394,-20.31909
3.604167,109.898,13.09278,-20.25722
3.6125,110.0488,13.09194,-20.19606
3.620834,110.2054,13.09066,-20.13299
3.629166,110.3625,13.08984,-20.07024
3.6375,110.5074,13.0886,-20.01114
3.645833,110.6638,13.08762,-19.94891
3.654167,110.8166,13.08657,-19.88782
3.6625,110.9708,13.08535,-19.82687
3.670833,111.117,13.08441,-19.76843
3.679166,111.2726,13.08312,-19.70734
3.6875,111.4307,13.08222,-19.64604
3.695834,111.5834,13.08092,-19.58651
3.704167,111.7357,13.08004,-19.52756
3.7125,111.8904,13.07876,-19.46723
3.720833,112.0436,13.07772,-19.40765
3.729167,112.1944,13.07664,-19.34821
3.7375,112.3501,13.07537,-19.28742
3.745834,112.5048,13.07442,-19.22757
3.754166,112.6599,13.0731,-19.16748
3.7625,112.8174,13.0721,-19.10615
3.770833,112.9695,13.07078,-19.04663
3.779167,113.1256,13.06972,-18.98634
3.7875,113.2766,13.0684,-18.92746
3.795833,113.4304,13.06726,-18.86906
3.804166,113.5876,13.06602,-18.80951
3.8125,113.7454,13.06467,-18.74989
3.820834,113.8928,13.0636,-18.6936
3.829167,114.0519,13.06212,-18.63416
3.8375,114.2056,13.06106,-18.57663
3.845833,114.3591,13.05966,-18.51976
3.854167,114.5129,13.05845,-18.46254
3.8625,114.6661,13.05709,-18.405
3.870834,114.8205,13.05576,-18.34755
3.879166,114.9769,13.05446,-18.28932
3.8875,115.1306,13.05307,-18.23306
3.895833,115.2861,13.05182,-18.17676
3.904167,115.4424,13.0503,-18.11989
3.9125,115.6008,13.04899,-18.06262
3.920833,115.7566,13.04735,-18.0065
3.929166,115.9104,13.04585,-17.95041
3.9375,116.0613,13.04426,-17.89587
3.945834,116.2171,13.04265,-17.84086
3.954167,116.374,13.04119,-17.78532
3.9625,116.5312,13.03949,-17.7298
3.970833,116.6848,13.038,-17.67528
3.979167,116.846,13.0363,-17.61898
3.9875,117.0006,13.03476,-17.56465
3.995834,117.1533,13.0332,-17.5107
4.004166,117.3108,13.03168,-17.4557
4.0125,117.4676,13.03023,-17.40184
4.020834,117.6268,13.02871,-17.34705
4.029167,117.7817,13.02727,-17.29385
4.0375,117.9399,13.0257,-17.24011
4.045833,118.0951,13.02427,-17.1877
4.054167,118.253,13.02266,-17.13404
4.0625,118.4114,13.02118,-17.08084
4.070833,118.5647,13.01969,-17.02936
4.079167,118.7267,13.01809,-16.97601
4.0875,118.881,13.01665,-16.92502
4.095833,119.0397,13.01498,-16.87348
4.104166,119.1939,13.01346,-16.82355
4.1125,119.3503,13.01184,-16.77308
4.120834,119.51,13.01024,-16.72245
4.129166,119.6655,13.00861,-16.67323
4.1375,119.8167,13.00702,-16.62541
4.145834,119.9725,13.0054,-16.57704
4.154167,120.135,13.00362,-16.52754
4.1625,120.2933,13.00208,-16.47916
4.170833,120.4526,13.00024,-16.43086
4.179167,120.6126,12.99868,-16.38242
4.1875,120.7734,12.99692,-16.33388
4.195833,120.9332,12.99524,-16.28589
4.204167,121.0953,12.99352,-16.23768
4.2125,121.249,12.99176,-16.19131
4.220833,121.4097,12.99005,-16.14349
4.229166,121.5742,12.98822,-16.09487
4.2375,121.7231,12.98664,-16.0501
4.245834,121.8891,12.98466,-16.00238
4.254166,122.044,12.98305,-15.95702
4.2625,122.2073,12.98111,-15.91016
4.270834,122.3683,12.97935,-15.86421
4.279167,122.5279,12.97755,-15.81886
4.2875,122.6891,12.9757,-15.77312
4.295833,122.848,12.97394,-15.72839
4.304167,123.0078,12.97197,-15.68416
4.3125,123.1699,12.97024,-15.6399
4.320833,123.3271,12.96814,-15.59676
4.329167,123.4881,12.9665,-15.55294
4.3375,123.6514,12.96445,-15.50936
4.345833,123.8093,12.96263,-15.46666
4.354166,123.9719,12.96072,-15.42347
4.3625,124.1343,12.95868,-15.38118
4.370834,124.2969,12.95681,-15.33948
